symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
False,128,32,4,4.0,2,27,1.7107931,3.2823985,5.755457496643063,0.9358945,0.66167647
True,128,32,4,4.0,2,28,1.3641407,2.7106936,3.543807506561275,0.8231072,0.57193255
False,128,32,4,4.0,2,28,2.3724997,4.7311444,7.591602039337156,1.0882096,0.82102555
True,128,32,4,4.0,2,29,1.8220417,3.7307243,5.690976333618157,0.95467573,0.67631364
False,128,32,4,4.0,2,29,2.0894089,4.333453,6.701871395111083,1.0263205,0.7521926
True,128,32,4,4.0,2,30,1.6075841,3.0082753,4.805486297607412,0.9061893,0.5888467
False,128,32,4,4.0,2,30,3.5446668,6.480579,12.858711814880365,1.3372461,0.9839001
True,128,32,4,4.0,2,31,2.286784,3.2891746,7.500422859191892,1.1069161,0.71808517
False,128,32,4,4.0,2,31,1.6309762,2.2508497,4.589406490325928,0.9625848,0.5436728
True,128,32,4,4.0,2,32,1.9757851,3.916882,6.05686073303222,0.9830064,0.70994395
False,128,32,4,4.0,2,32,2.4514709,3.7381978,7.51926679611204,1.1628922,0.7126084
True,128,32,4,4.0,2,33,1.5213705,2.851738,4.669389152526854,0.88248754,0.6169541
False,128,32,4,4.0,2,33,3.1866603,4.704263,10.100876235961907,1.291224,0.80885416
True,128,32,4,4.0,2,34,1.8851161,5.0455894,4.5554172515869125,0.9596949,0.70519567
False,128,32,4,4.0,2,34,2.140364,4.2323785,6.692863082885723,1.0251781,0.7360697
True,128,32,4,4.0,2,35,1.8226091,2.7800791,5.619150638580318,0.9726913,0.6171732
False,128,32,4,4.0,2,35,3.473194,4.47518,12.40352764129638,1.4085089,0.8785009
True,128,32,4,4.0,2,36,1.5223871,2.860186,5.009334278106689,0.873482,0.5838455
False,128,32,4,4.0,2,36,2.6225438,6.8940005,6.947611045837398,1.0964675,0.905922
True,128,32,4,4.0,2,37,3.5260463,6.1935163,9.317104721069326,1.3455503,0.9224339
False,128,32,4,4.0,2,37,1.7011894,3.2050114,4.85559673309326,0.9386591,0.6113556
True,128,32,4,4.0,2,38,1.753713,3.527269,4.096019268035883,0.948182,0.63970035
False,128,32,4,4.0,2,38,2.4930012,5.489863,8.326941108703597,1.091952,0.8404863
