symmetric,encoder_macs,decoder_macs,encoder_params,decoder_params,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,9,1.8289912,12.130447,4.417194700241086,0.78701633,0.85499644
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,9,1.8808367,12.861515,4.08753507137297,0.75258195,0.89512384
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,10,2.9123595,26.29653,4.762006950378407,0.8300204,1.1682534
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,10,1.5284367,11.006232,3.0403280973434437,0.68041086,0.7837141
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,11,2.1008303,18.972925,3.2864726066589323,0.7300965,0.9861959
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,11,1.8652459,12.904986,4.208770799636838,0.7536329,0.8584978
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,12,2.7678175,24.200611,4.434470462799071,0.8381011,1.1297777
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,12,2.2972946,19.993502,4.321482944488522,0.7735131,1.0055674
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,13,3.0351603,18.533367,6.915120315551753,1.0425034,1.0555538
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,13,3.1631677,27.76654,4.883372497558592,0.89046884,1.2266142
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,14,2.5651429,28.08052,2.321760559082029,0.7084613,1.1653727
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,14,2.8013012,23.614853,4.092854261398313,0.8399636,1.1354067
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,15,1.8037136,12.246015,3.145108914375304,0.75748897,0.8518
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,15,2.3939629,18.964157,3.254419898986815,0.84502256,1.0213284
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,16,1.8109298,7.462641,5.560135269165034,0.80114716,0.84245425
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,16,2.781315,23.977823,4.5602029800415025,0.85677356,1.1447895
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,17,2.5555336,20.159645,4.70103459358215,0.80363286,1.1032807
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,17,3.4412968,32.24368,4.472486495971677,0.88825333,1.305872
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,18,2.4693854,22.686846,4.023476862907409,0.80886346,1.0306594
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,18,3.2084951,33.26424,4.0066486358642575,0.8129125,1.2803584
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,19,1.5846206,10.5841875,3.3362899303436246,0.70721275,0.79743296
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,19,2.810119,25.512192,4.066184425354002,0.8218901,1.1799468
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,20,2.5436513,24.252584,3.556413912773125,0.7486795,1.1325558
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,20,2.0944467,17.407633,4.312683629989617,0.7619217,0.96750844
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,21,1.6727027,8.93258,4.274849176406859,0.77355295,0.78311294
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,21,1.5810997,10.87759,3.368021893501281,0.7174185,0.77425617
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,22,2.4366672,23.97255,3.654197335243225,0.7209345,1.1071808
False,2500,9820,2525,10023,100,25,3.5714285714285716,2,22,1.7858028,13.311109,3.6467368125915502,0.753709,0.85359555
True,9820,9820,9948,10023,100,25,3.5714285714285716,2,23,2.2589405,21.174519,3.5559928178787166,0.75707895,1.0339658
