symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
False,256,4,64.0,2,6,23.434515,62.28643,75.10129928588866,3.1611552,2.7814705
True,256,4,64.0,2,7,17.263365,41.962177,43.30544757843014,2.8668773,2.2744868
False,256,4,64.0,2,7,24.03277,56.651756,76.09278640747068,3.2350638,2.7778363
True,256,4,64.0,2,8,25.363071,31.48032,90.90109176635738,3.7691677,2.2309175
False,256,4,64.0,2,8,30.03807,71.59733,89.78021926879856,3.71013,2.999686
True,256,4,64.0,2,9,30.86884,118.13981,59.89166831970215,3.4323027,3.4342806
False,256,4,64.0,2,9,33.54644,115.21587,57.6246658325195,3.7304347,3.4355412
True,256,4,64.0,2,10,14.676231,20.120478,44.40772743225093,2.830307,1.722846
False,256,4,64.0,2,10,26.244678,59.153564,53.136580657958945,3.5254185,2.7419736
True,256,4,64.0,2,11,14.458562,24.97628,46.32518711090072,2.7808008,1.7612741
False,256,4,64.0,2,11,38.377308,134.05331,71.61357536315904,3.950858,3.7129567
True,256,4,64.0,2,12,19.991444,30.998455,53.79463272094725,3.3395529,1.983192
False,256,4,64.0,2,12,21.422533,35.492283,69.83410530090329,3.2951944,2.2515116
True,256,4,64.0,2,13,18.08488,27.26804,50.86141967773436,3.1413124,1.8749092
False,256,4,64.0,2,13,32.23439,112.873985,65.90067157745351,3.5582325,3.4690008
True,256,4,64.0,2,14,15.827637,17.894531,58.796710777282534,2.9858496,1.6906903
False,256,4,64.0,2,14,32.3459,91.34594,79.92813835144037,3.594492,3.419674
True,256,4,64.0,2,15,20.141424,40.622433,61.528247451782214,3.2426393,2.1508389
False,256,4,64.0,2,15,24.918299,78.96584,58.49997940063466,3.1258948,3.0478127
True,256,4,64.0,2,16,17.988636,30.78361,40.23708000183105,3.1410606,1.8910983
False,256,4,64.0,2,16,25.528755,66.58938,53.730191040039045,3.3840687,2.8350475
True,256,4,64.0,2,17,16.58486,32.45926,49.90209369659416,2.9399219,1.9025059
False,256,4,64.0,2,17,25.36336,62.838894,85.29916152954074,3.322013,2.870865
True,256,4,64.0,2,18,16.1439,27.969345,61.66244544982905,2.8664176,1.9739604
False,256,4,64.0,2,18,19.103212,43.229053,48.66858921051024,3.0106661,2.332431
True,256,4,64.0,2,19,16.466908,21.980465,59.685508918762096,3.03439,1.8021338
False,256,4,64.0,2,19,28.228874,94.272644,53.88591175079333,3.2684195,3.2899454
True,256,4,64.0,2,20,16.801996,24.414255,49.1109239578247,3.0559742,1.8288436
False,256,4,64.0,2,20,30.60565,117.56298,68.34614562988277,3.283178,3.5929575
True,256,4,64.0,2,21,35.44401,97.29857,84.4263557434082,3.9928315,3.3064258
False,256,4,64.0,2,21,24.099566,44.450947,85.66928215026843,3.4323764,2.538923
