method,window,ratio,compressed_bits,mse,mae,input_dim
gorilla,195,1.087337403769578,3767,0.0,0.0,128
gorilla,196,1.1541279233586925,3549,0.0,0.0,128
gorilla,197,0.9834333733493398,4165,0.0,0.0,128
gorilla,198,1.2419648271679806,3298,0.0,0.0,128
gorilla,199,0.9394495412844037,4360,0.0,0.0,128
gorilla,200,1.1355697255336845,3607,0.0,0.0,128
gorilla,201,1.202230701496918,3407,0.0,0.0,128
gorilla,202,1.0686146621445343,3833,0.0,0.0,128
gorilla,203,1.2050603118564283,3399,0.0,0.0,128
gorilla,204,0.9503480278422274,4310,0.0,0.0,128
gorilla,0,0.9622929637025726,8513,0.0,0.0,256
gorilla,1,1.208259587020649,6780,0.0,0.0,256
gorilla,2,0.9636513351370427,8501,0.0,0.0,256
gorilla,3,1.1064289573203674,7404,0.0,0.0,256
gorilla,4,0.9661516688288714,8479,0.0,0.0,256
gorilla,5,1.2408361102696153,6602,0.0,0.0,256
gorilla,6,0.9817833173537871,8344,0.0,0.0,256
gorilla,7,1.0,8192,0.0,0.0,256
gorilla,8,1.1999414091108833,6827,0.0,0.0,256
gorilla,9,1.0023247277621437,8173,0.0,0.0,256
gorilla,10,0.9893719806763285,8280,0.0,0.0,256
gorilla,11,1.2344786015672091,6636,0.0,0.0,256
gorilla,12,1.204705882352941,6800,0.0,0.0,256
gorilla,13,1.0528209741678447,7781,0.0,0.0,256
gorilla,14,1.2147093712930013,6744,0.0,0.0,256
gorilla,15,1.02592360676268,7985,0.0,0.0,256
gorilla,16,0.9493568200254954,8629,0.0,0.0,256
gorilla,17,1.051469644461558,7791,0.0,0.0,256
gorilla,18,0.9729216152019002,8420,0.0,0.0,256
gorilla,19,1.0401218892839004,7876,0.0,0.0,256
gorilla,20,1.25567136725935,6524,0.0,0.0,256
gorilla,21,0.943344081068632,8684,0.0,0.0,256
gorilla,22,1.0040446133104548,8159,0.0,0.0,256
gorilla,23,1.2143492439964423,6746,0.0,0.0,256
gorilla,24,1.1950401167031364,6855,0.0,0.0,256
gorilla,25,0.9947783849423194,8235,0.0,0.0,256
gorilla,26,1.2048830710398588,6799,0.0,0.0,256
gorilla,27,1.1896601800755155,6886,0.0,0.0,256
gorilla,28,1.2504961074645093,6551,0.0,0.0,256
gorilla,29,1.2603076923076924,6500,0.0,0.0,256
gorilla,30,1.0215737623145031,8019,0.0,0.0,256
gorilla,31,1.0288872142677719,7962,0.0,0.0,256
gorilla,32,1.2109386548410939,6765,0.0,0.0,256
gorilla,33,1.1973107278573516,6842,0.0,0.0,256
gorilla,34,1.0539045413611219,7773,0.0,0.0,256
gorilla,35,0.9764004767580453,8390,0.0,0.0,256
gorilla,36,0.9777989973740749,8378,0.0,0.0,256
gorilla,37,1.1983616149795202,6836,0.0,0.0,256
gorilla,38,1.19608702000292,6849,0.0,0.0,256
gorilla,39,0.9979291022048971,8209,0.0,0.0,256
gorilla,40,1.2020542920029347,6815,0.0,0.0,256
gorilla,41,0.9953827460510328,8230,0.0,0.0,256
gorilla,42,0.9579045837231057,8552,0.0,0.0,256
gorilla,43,1.2084378226877122,6779,0.0,0.0,256
gorilla,44,0.9703861644160152,8442,0.0,0.0,256
gorilla,45,1.2446065025828015,6582,0.0,0.0,256
gorilla,46,0.9963512527365604,8222,0.0,0.0,256
gorilla,47,0.991047665134285,8266,0.0,0.0,256
gorilla,48,1.238397581254724,6615,0.0,0.0,256
gorilla,49,1.0292750345520794,7959,0.0,0.0,256
gorilla,50,0.9760514714643155,8393,0.0,0.0,256
gorilla,51,1.1103280021686093,7378,0.0,0.0,256
gorilla,52,1.053768973501415,7774,0.0,0.0,256
gorilla,53,1.242153146322972,6595,0.0,0.0,256
gorilla,54,1.0076260762607625,8130,0.0,0.0,256
gorilla,55,1.2385848200786211,6614,0.0,0.0,256
gorilla,56,1.3052899936265137,6276,0.0,0.0,256
gorilla,57,0.9661516688288714,8479,0.0,0.0,256
gorilla,58,1.2585650637578738,6509,0.0,0.0,256
gorilla,59,1.2270820850808868,6676,0.0,0.0,256
gorilla,60,1.0136104924523632,8082,0.0,0.0,256
gorilla,61,1.2510690287110569,6548,0.0,0.0,256
gorilla,62,1.060865060865061,7722,0.0,0.0,256
gorilla,63,1.25682724762197,6518,0.0,0.0,256
gorilla,64,0.9687795648060549,8456,0.0,0.0,256
gorilla,65,1.2252467843254562,6686,0.0,0.0,256
gorilla,66,1.1987123207491952,6834,0.0,0.0,256
gorilla,67,1.0460988379517302,7831,0.0,0.0,256
gorilla,68,1.269093725793958,6455,0.0,0.0,256
gorilla,69,1.2651737451737453,6475,0.0,0.0,256
gorilla,70,1.2408361102696153,6602,0.0,0.0,256
gorilla,71,0.9922480620155039,8256,0.0,0.0,256
gorilla,72,1.0231047833145996,8007,0.0,0.0,256
gorilla,73,0.9663796154299871,8477,0.0,0.0,256
gorilla,74,1.0903766804206043,7513,0.0,0.0,256
gorilla,75,0.9823719870488068,8339,0.0,0.0,256
gorilla,76,0.9544448328090411,8583,0.0,0.0,256
gorilla,77,0.9593629230589062,8539,0.0,0.0,256
gorilla,78,1.1976608187134503,6840,0.0,0.0,256
gorilla,79,1.0368307809138084,7901,0.0,0.0,256
gorilla,80,1.0414441901856089,7866,0.0,0.0,256
gorilla,81,1.1919103739269605,6873,0.0,0.0,256
gorilla,82,1.2008208736440926,6822,0.0,0.0,256
gorilla,83,0.9607130292013604,8527,0.0,0.0,256
gorilla,84,0.9984156002437538,8205,0.0,0.0,256
gorilla,85,1.2120136114809883,6759,0.0,0.0,256
gorilla,86,1.0828816920026438,7565,0.0,0.0,256
gorilla,87,1.0566232426157616,7753,0.0,0.0,256
gorilla,88,1.1218844152287044,7302,0.0,0.0,256
gorilla,89,1.2245142002989537,6690,0.0,0.0,256
gorilla,90,1.241588360109124,6598,0.0,0.0,256
